aX,aY,aZ,gX,gY,gZ
-2.024,-0.424,1.318,-81.543,-81.360,-225.769
-3.219,-0.722,-0.350,-195.740,9.094,-210.999
-3.379,-1.188,-0.239,-157.349,-4.456,-206.116
-3.786,-2.252,0.196,-129.822,-69.092,-196.411
-4.000,-2.487,2.058,-33.264,-122.681,-163.879
-3.737,-2.707,2.541,39.185,-107.178,-113.159
-3.289,-3.752,1.093,-20.325,-30.090,-55.847
-2.514,-2.406,1.951,-48.523,-37.048,42.603
-1.663,-1.601,1.779,-84.290,-36.255,91.675
-1.476,-2.017,1.445,-109.070,0.427,81.848
-1.599,-1.369,1.180,-114.197,32.776,103.027
